# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1755220909868000000,1755220969620000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1755220909868000000,1755220969620000000,0
workspaceModel.do.save.caches.ms,1755220909868000000,1755220969620000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1755220909868000000,1755220969620000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1755220909868000000,1755220969620000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1755220909868000000,1755220969620000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1755220909868000000,1755220969620000000,0
cacheStateStorage.get.counter,1755220909868000000,1755220969620000000,1
cacheStateStorage.set.duration,1755220909868000000,1755220969620000000,11
cacheStateStorage.get.duration,1755220909868000000,1755220969620000000,0
cacheStateStorage.set.counter,1755220909868000000,1755220969620000000,1
Indexing.writesQueuedMax,1755220969620000000,1755221029618000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1755220969620000000,1755221029618000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1755220969620000000,1755221029618000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1755220969620000000,1755221029618000000,0
Indexing.cache.totalCacheEvicted,1755220969620000000,1755221029618000000,0
Indexing.writesQueuedMin,1755220969620000000,1755221029618000000,9223372036854775807
Indexing.writer_3.totalTimeSpentWritingMs,1755220969620000000,1755221029618000000,0
Indexing.cache.totalCacheAccesses,1755220969620000000,1755221029618000000,0
Indexing.totalTimeIndexersSleptMs,1755220969620000000,1755221029618000000,0
Indexing.cache.totalCacheMisses,1755220969620000000,1755221029618000000,0
ReadAction.executionsCount,1755220969620000000,1755221029618000000,1310
NonBlockingReadAction.finalizedExecutionTimeUs,1755220969620000000,1755221029618000000,487
WriteAction.executionsCount,1755220969620000000,1755221029618000000,2
NonBlockingReadAction.finalizedExecutionsCount,1755220969620000000,1755221029618000000,2
NonBlockingReadAction.failedExecutionsCount,1755220969620000000,1755221029618000000,0
NonBlockingReadAction.failedExecutionTimeUs,1755220969620000000,1755221029618000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1755220969620000000,1755221029618000000,0
FilePageCache.totalPageDisposalsUs,1755220969620000000,1755221029618000000,0
FilePageCache.uncachedFileAccess,1755220969620000000,1755221029618000000,0
MappedFileStorage.storages,1755220969620000000,1755221029618000000,6
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1755220969620000000,1755221029618000000,161497088
FilePageCache.pageLoads,1755220969620000000,1755221029618000000,0
FilePageCache.disposedBuffers,1755220969620000000,1755221029618000000,0
DirectByteBufferAllocator.misses,1755220969620000000,1755221029618000000,0
StreamlinedBlobStorage.recordsAllocated,1755220969620000000,1755221029618000000,10
StorageLockContext.competingThreads.90P,1755220969620000000,1755221029618000000,0
StorageLockContext.competingThreads.avg,1755220969620000000,1755221029618000000,0.0
MappedFileStorage.totalPagesMapped,1755220969620000000,1755221029618000000,6
MappedFileStorage.totalTimeSpentOnMappingUs,1755220969620000000,1755221029618000000,1108021
DirectByteBufferAllocator.disposed,1755220969620000000,1755221029618000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1755220969620000000,1755221029618000000,78
FilePageCache.maxCacheSizeInBytes,1755220969620000000,1755221029618000000,161497088
FilePageCache.maxRegisteredFiles,1755220969620000000,1755221029618000000,418
FilePageCache.pageLoadsAboveSizeThreshold,1755220969620000000,1755221029618000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1755220969620000000,1755221029618000000,700
StreamlinedBlobStorage.recordsRelocated,1755220969620000000,1755221029618000000,0
StreamlinedBlobStorage.recordsDeleted,1755220969620000000,1755221029618000000,0
FilePageCache.capacityInBytes,1755220969620000000,1755221029618000000,629145600
FilePageCache.pageHits,1755220969620000000,1755221029618000000,0
DirectByteBufferAllocator.hits,1755220969620000000,1755221029618000000,0
FilePageCache.totalPageLoadsUs,1755220969620000000,1755221029618000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1755220969620000000,1755221029618000000,0
StorageLockContext.competingThreads.max,1755220969620000000,1755221029618000000,0
FilePageCache.pageFastCacheHits,1755220969620000000,1755221029618000000,0
DirectByteBufferAllocator.reclaimed,1755220969620000000,1755221029618000000,0
MappedFileStorage.totalBytesMapped,1755220969620000000,1755221029618000000,164626432
workspaceModel.on.before.changed.ms,1755220969620000000,1755221029618000000,0
workspaceModel.replace.project.model.ms,1755220969620000000,1755221029618000000,0
workspaceModel.initializing.ms,1755220969620000000,1755221029618000000,0
workspaceModel.loading.from.cache.ms,1755220969620000000,1755221029618000000,0
workspaceModel.cachedValueWithParameters.clear.count,1755220969620000000,1755221029618000000,0
workspaceModel.updates.count,1755220969620000000,1755221029618000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1755220969620000000,1755221029618000000,0
workspaceModel.init.bridges.ms,1755220969620000000,1755221029618000000,0
workspaceModel.cachedValue.calculated.count,1755220969620000000,1755221029618000000,0
workspaceModel.update.unloaded.entities.ms,1755220969620000000,1755221029618000000,0
workspaceModel.on.changed.ms,1755220969620000000,1755221029618000000,0
workspaceModel.cachedValue.total.get.count,1755220969620000000,1755221029618000000,0
workspaceModel.check.recursive.update.ms,1755220969620000000,1755221029618000000,0
